PackageName,FontName,FileName,Hash
opensansbold,OpenSans Bold,OpenSans-Bold.ttf,be335183ab92964e61018a684c40abdf175d2fb06986c536a844dfbc6a426408
opensansbolditalic,OpenSans BoldItalic,OpenSans-BoldItalic.ttf,6fc1f80919bc4d05c5172057346df15ada219b5016110b2cde4c899d46fa2da1
opensansextrabold,OpenSans ExtraBold,OpenSans-ExtraBold.ttf,ca7ca76430fecef379aa6a05c17f96fc02e06e3f8222cc43cda6e015c798bacb
opensansextrabolditalic,OpenSans ExtraBoldItalic,OpenSans-ExtraBoldItalic.ttf,c8eef1b5112dfaf8a0ca7be803a90830a5d3cbda77a9c4edc7f1bc818cb0b84d
opensansitalic,OpenSans Italic,OpenSans-Italic.ttf,ec599345ca8f7323c9ff46035f3db987bc0dd6ca88496c5e8a49320a89d1246d
opensanslight,OpenSans Light,OpenSans-Light.ttf,0659a8eb264400a96761a296894f7e705500ecf8291440a537a0ac8a5e11478b
opensanslightitalic,OpenSans LightItalic,OpenSans-LightItalic.ttf,df9c659571285909720e5b30154e6f6de184962b85df83776f4eeaa697de6532
opensansregular,OpenSans Regular,OpenSans-Regular.ttf,0257362c3bdd0b34f853fa7fc3c2f45587f306f5b31be9bfaeb6bae7fdded14f
opensanssemibold,OpenSans Semibold,OpenSans-Semibold.ttf,3d2744bd206b8e7acfba0c03435b3f43dea9efa76d2dd04b90b7fe7c73b8d11e
opensanssemibolditalic,OpenSans SemiboldItalic,OpenSans-SemiboldItalic.ttf,84ab4f8f627ce5438e6ba7d6300fe433d5264ccee5553a33baf6b0ab22be61e6
playfairdisplayblack,PlayfairDisplay Black,PlayfairDisplay-Black.ttf,f8501ceafe2e9e390f8b45b037fca2da55a9eda42d67fc750e8b8c5794cc209d
playfairdisplayblackitalic,PlayfairDisplay BlackItalic,PlayfairDisplay-BlackItalic.ttf,069570570e131b256158e8364ae3933809ef4ce53184cbaaf8e5cce3b7e49512
playfairdisplaybold,PlayfairDisplay Bold,PlayfairDisplay-Bold.ttf,bf553d6804afdb61849fa35f60e35990577b0402ee6034a60943ade542484dcc
playfairdisplaybolditalic,PlayfairDisplay BoldItalic,PlayfairDisplay-BoldItalic.ttf,25f685ac88afd1b507a484511932852f96307f35bc27ccf50df59c3d26177ef6
playfairdisplayitalic,PlayfairDisplay Italic,PlayfairDisplay-Italic.ttf,bc93f02cc85e7492842b591b46b8d27db5eb7e1dab7b0d13a8f40d3446b246a5
playfairdisplayregular,PlayfairDisplay Regular,PlayfairDisplay-Regular.ttf,2de8640f3b6f9f0d6ba59188955b536828e3f5507e4e229da6c73853a5ac28c7
ralewayblack,Raleway Black,Raleway-Black.ttf,3954d533a76b0bb6195a8d8d6411514c1f3c3f7cbe25a9e19f0f9aea69c5d841
ralewayblackitalic,Raleway BlackItalic,Raleway-BlackItalic.ttf,c1ad68db7eaeac2ae106782552e464a563698b6feb2437f41ea611e3a9aaabe2
ralewaybold,Raleway Bold,Raleway-Bold.ttf,da685aa9226ce48c2b227d83bb48f0bf93acece42ae3203e2975b067310e381b
ralewaybolditalic,Raleway BoldItalic,Raleway-BoldItalic.ttf,419e1ba0302c86e22cdb1f17d98f10824dd6be8ca72d2528d596040650c2b61e
ralewayextrabold,Raleway ExtraBold,Raleway-ExtraBold.ttf,97e8be8f2608917209808e839b1cb7f2dd633614707071481e089726cd8af2ce
ralewayextrabolditalic,Raleway ExtraBoldItalic,Raleway-ExtraBoldItalic.ttf,09cdcfa58f0faca3ae75155910d3f478d0cd8885bf3da0417c4a1d6371ba0342
ralewayextralight,Raleway ExtraLight,Raleway-ExtraLight.ttf,4ef01c885d277b119d6b4059a7b6797ba10180b85db2dca08a613d1a4514073e
ralewayextralightitalic,Raleway ExtraLightItalic,Raleway-ExtraLightItalic.ttf,260b131af3d41ffd9e059e1fe9902b9012d035a6f448f479ee1896d8ae25becc
ralewayitalic,Raleway Italic,Raleway-Italic.ttf,d0bf89497d1f0908b0fad8f147ba46111fb7c156647b5524effe08c0ff8aecdf
ralewaylight,Raleway Light,Raleway-Light.ttf,f4a0a0650648635b8a6b2067977efa2ec59d31b7ba7f3c7434c0e1fbaf0e609d
ralewaylightitalic,Raleway LightItalic,Raleway-LightItalic.ttf,2b8da0738243e27b189cd1ee1f8208debc261a93127b867b892a9922c514ed36
ralewaymedium,Raleway Medium,Raleway-Medium.ttf,0e0af37f7a28b58e9a527dc20d3d55a4e3e0911b75ef925f080a6a0d43561e66
ralewaymediumitalic,Raleway MediumItalic,Raleway-MediumItalic.ttf,7d712e1e51f9767be9df1f494b7e8f937546c99eb725fde63f8ce7fcd7074f8c
ralewayregular,Raleway Regular,Raleway-Regular.ttf,69d652414f3dbaee7d2a99dd985e104c3bf6d12f626ae575601e4174187697a7
ralewaysemibold,Raleway SemiBold,Raleway-SemiBold.ttf,21cf203f98e38ff36d59964277d57882d875d27fb9978ec1e7c1f21c2b92a9e3
ralewaysemibolditalic,Raleway SemiBoldItalic,Raleway-SemiBoldItalic.ttf,4dddb4ed52acc92350843296783809930b49a51c42bc4c6980a7b252cfbb72fc
ralewaythin,Raleway Thin,Raleway-Thin.ttf,4e74a28a76cf35ec93c0b40bfff69e006b349c51d7a56fbd9aab54296c52d504
ralewaythinitalic,Raleway ThinItalic,Raleway-ThinItalic.ttf,3809eb08618ba59afb11a8c3a5c81dfcc22bb564deb670e23bbf9463ac399cca
robotoblack,Roboto Black,Roboto-Black.ttf,abbf4fccda7e44d94db7ae57d2343c6ce9612bfadbdfa6a71a90afecdfad3df8
robotoblackitalic,Roboto BlackItalic,Roboto-BlackItalic.ttf,9303ea9dd627a62a260e86c893dc987e7bd8e0882d98a88d3f8d54185b06d609
robotobold,Roboto Bold,Roboto-Bold.ttf,c4f8e11510bc1050f448f66f329dc18e799ab1d1979c39c7af81aea1d2a0ca3b
robotobolditalic,Roboto BoldItalic,Roboto-BoldItalic.ttf,8f044ac0abfe7ca7e4eaf469770945cb6e77197acebe2a8925334f34c14b6560
robotocondensedbold,RobotoCondensed Bold,RobotoCondensed-Bold.ttf,c9a275cabc2113d4a815770f2c785ed2d50bb817d4183838c5964f6a02735c44
robotocondensedbolditalic,RobotoCondensed BoldItalic,RobotoCondensed-BoldItalic.ttf,0cd5ea828c890e842cdf7af941d501e2456abe15c4d1a39a39dec554b4424432
robotocondenseditalic,RobotoCondensed Italic,RobotoCondensed-Italic.ttf,35cb9026cf08aa6caca8f3843f51be42d90f925618559c96b9479f137f71ed24
robotocondensedlight,RobotoCondensed Light,RobotoCondensed-Light.ttf,9af94bb24c52ab7a0ce679084cc2b1aebd1d09697687390c51e75d2b5754534f
robotocondensedlightitalic,RobotoCondensed LightItalic,RobotoCondensed-LightItalic.ttf,f2633a103592f684b04bd1170ea16cba78341883ba090298c6c5f9199c2cbe91
robotocondensedregular,RobotoCondensed Regular,RobotoCondensed-Regular.ttf,25e264c72330eb4f1aaef77bfd9b366beda84a8dd4c88106e7103e00ffc52e57
robotoitalic,Roboto Italic,Roboto-Italic.ttf,7d0e669ced61a63419ce1fc526b4a13adb649e961e44635caf2dcefd7a0a1ecb
robotolight,Roboto Light,Roboto-Light.ttf,76f48fd15c9ccdffd90d339a3e21611ed2c0ef254dcda8e89e106a219032ae23
robotolightitalic,Roboto LightItalic,Roboto-LightItalic.ttf,b5aebfbd68205082c8faef6865c032a398a42bc6d67f7b378cdf81d176c7024e
robotomedium,Roboto Medium,Roboto-Medium.ttf,894bc1c70477c9a2d3766874803411565af323457492bfa25d7130468b3c7d6a
robotomediumitalic,Roboto MediumItalic,Roboto-MediumItalic.ttf,2326b60135557183f9d2fe518b346b98c2c4c48aa26b743fbc81ce100c884c55
robotoregular,Roboto Regular,Roboto-Regular.ttf,7c4d0efa5142a4135d965984ae334c3f73cbbad1bfb683f40219b1d2a32bf4bb
robotothin,Roboto Thin,Roboto-Thin.ttf,bb7719b03e8ea4d9963259dc21378cfab2b8cc1e090ad3ca178d48881aee2845
robotothinitalic,Roboto ThinItalic,Roboto-ThinItalic.ttf,262e2b3c753a1631dc1f9c2a0e23059d0416ded207c103c67b8b1060f1a1f5d7
