PackageName,FontName
opensanssemibolditalic,OpenSans SemiboldItalic
ralewayextralight,Raleway ExtraLight
ralewaythin,Raleway Thin
ralewayitalic,Raleway Italic
playfairdisplayblackitalic,PlayfairDisplay BlackItalic
opensansbold,OpenSans Bold
opensansitalic,OpenSans Italic
playfairdisplayregular,PlayfairDisplay Regular
ralewaylightitalic,Raleway LightItalic
playfairdisplayblack,PlayfairDisplay Black
opensansextrabolditalic,OpenSans ExtraBoldItalic
ralewayextrabold,Raleway ExtraBold
opensansregular,OpenSans Regular
opensansextrabold,OpenSans ExtraBold
ralewayblack,Raleway Black
ralewaybolditalic,Raleway BoldItalic
ralewaymediumitalic,Raleway MediumItalic
ralewaymedium,Raleway Medium
ralewayblackitalic,Raleway BlackItalic
ralewaysemibolditalic,Raleway SemiBoldItalic
playfairdisplayitalic,PlayfairDisplay Italic
playfairdisplaybold,PlayfairDisplay Bold
ralewayextrabolditalic,Raleway ExtraBoldItalic
playfairdisplaybolditalic,PlayfairDisplay BoldItalic
ralewaybold,Raleway Bold
opensanssemibold,OpenSans Semibold
ralewaysemibold,Raleway SemiBold
opensanslightitalic,OpenSans LightItalic
ralewaythinitalic,Raleway ThinItalic
opensansbolditalic,OpenSans BoldItalic
ralewaylight,Raleway Light
ralewayextralightitalic,Raleway ExtraLightItalic
opensanslight,OpenSans Light
ralewayregular,Raleway Regular
